iter	Passed	Remaining
0	22	29799
1	43	28952
2	64	28792
3	86	28917
4	109	29272
5	126	28133
6	143	27347
7	164	27386
8	186	27601
9	208	27688
10	229	27699
11	251	27830
12	272	27792
13	293	27782
14	314	27781
15	334	27701
16	355	27656
17	374	27552
18	396	27594
19	422	27885
20	443	27856
21	465	27902
22	487	27923
23	508	27880
24	528	27833
25	550	27844
26	574	27976
27	600	28162
28	617	27930
29	636	27816
30	656	27734
31	679	27811
32	701	27785
33	726	27927
34	749	27954
35	772	27987
36	794	28008
37	821	28163
38	843	28148
39	860	27972
40	882	27971
41	905	27991
42	927	27983
43	951	28034
44	972	28013
45	998	28111
46	1019	28073
47	1041	28046
48	1066	28122
49	1087	28084
50	1112	28135
51	1136	28175
52	1157	28121
53	1178	28099
54	1202	28110
55	1226	28136
56	1251	28194
57	1273	28168
58	1297	28196
59	1323	28248
60	1340	28134
61	1357	28006
62	1382	28037
63	1399	27929
64	1426	27999
65	1448	27975
66	1469	27939
67	1492	27931
68	1509	27831
69	1530	27791
70	1553	27794
71	1574	27749
72	1591	27638
73	1612	27601
74	1635	27602
75	1660	27637
76	1681	27605
77	1701	27546
78	1722	27523
79	1744	27494
80	1764	27452
81	1785	27420
82	1807	27391
83	1831	27399
84	1853	27388
85	1878	27410
86	1899	27383
87	1917	27307
88	1941	27317
89	1965	27315
90	1987	27300
91	2007	27250
92	2030	27248
93	2054	27254
94	2075	27224
95	2099	27226
96	2122	27223
97	2147	27241
98	2172	27253
99	2195	27245
100	2219	27249
101	2246	27290
102	2269	27272
103	2294	27296
104	2320	27312
105	2344	27315
106	2366	27286
107	2387	27262
108	2415	27300
109	2437	27280
110	2460	27267
111	2482	27244
112	2506	27241
113	2530	27232
114	2553	27219
115	2581	27256
116	2606	27266
117	2632	27281
118	2658	27300
119	2681	27279
120	2705	27280
121	2730	27278
122	2753	27262
123	2779	27282
124	2803	27276
125	2830	27289
126	2854	27282
127	2880	27295
128	2907	27313
129	2932	27321
130	2955	27295
131	2978	27282
132	3001	27264
133	3028	27277
134	3052	27272
135	3075	27252
136	3098	27231
137	3121	27209
138	3144	27194
139	3167	27174
140	3193	27179
141	3216	27162
142	3241	27155
143	3264	27140
144	3288	27125
145	3313	27124
146	3338	27116
147	3360	27087
148	3387	27096
149	3412	27091
150	3436	27078
151	3460	27069
152	3482	27039
153	3506	27029
154	3527	26993
155	3551	26981
156	3576	26970
157	3596	26930
158	3620	26918
159	3641	26882
160	3662	26845
161	3683	26807
162	3706	26783
163	3726	26746
164	3747	26710
165	3768	26674
166	3783	26597
167	3806	26575
168	3826	26539
169	3848	26511
170	3870	26484
171	3894	26471
172	3916	26442
173	3942	26443
174	3963	26406
175	3983	26368
176	4004	26332
177	4024	26295
178	4045	26258
179	4066	26229
180	4088	26202
181	4110	26174
182	4130	26138
183	4155	26127
184	4175	26093
185	4200	26083
186	4226	26080
187	4246	26045
188	4268	26019
189	4291	26000
190	4309	25946
191	4326	25893
192	4351	25884
193	4368	25830
194	4393	25818
195	4410	25765
196	4435	25756
197	4459	25742
198	4483	25729
199	4501	25681
200	4525	25667
201	4543	25618
202	4560	25568
203	4578	25517
204	4593	25452
205	4607	25386
206	4624	25336
207	4642	25287
208	4657	25224
209	4675	25180
210	4693	25138
211	4712	25097
212	4731	25054
213	4750	25017
214	4765	24957
215	4781	24901
216	4800	24864
217	4817	24817
218	4831	24755
219	4846	24695
220	4861	24636
221	4876	24577
222	4890	24520
223	4905	24462
224	4920	24404
225	4934	24346
226	4949	24289
227	4963	24231
228	4978	24175
229	4993	24121
230	5011	24081
231	5029	24042
232	5047	24002
233	5062	23949
234	5077	23894
235	5091	23840
236	5106	23786
237	5124	23748
238	5142	23710
239	5160	23672
240	5176	23628
241	5193	23586
242	5210	23544
243	5227	23502
